 500000, 0.568
1000000, 0.634
1500000, 0.648
2000000, 0.665
2500000, 0.733
3000000, 0.718
3500000, 0.765
4000000, 0.739
4500000, 0.792
5000000, 0.765
5500000, 0.8
6000000, 0.763
6500000, 0.757
7000000, 0.78
7500000, 0.804
8000000, 0.824
8500000, 0.804
9000000, 0.803
9500000, 0.845
10000000, 0.857
10500000, 0.851
11000000, 0.831
11500000, 0.818
12000000, 0.871
12500000, 0.878
13000000, 0.858
13500000, 0.851
14000000, 0.8
14500000, 0.849
15000000, 0.872
15500000, 0.861
16000000, 0.881
16500000, 0.865
17000000, 0.859
17500000, 0.872
18000000, 0.86
18500000, 0.885
19000000, 0.874
19500000, 0.897
20000000, 0.889
