1000000, (0.684, 21.799)
2000000, (0.68, 20.211)
3000000, (0.736, 20.505)
4000000, (0.769, 19.322)
5000000, (0.817, 19.652)
6000000, (0.814, 20.321)
7000000, (0.826, 19.227)
8000000, (0.808, 18.296)
9000000, (0.792, 18.894)
10000000, (0.807, 19.22)
11000000, (0.846, 18.199)
12000000, (0.849, 18.725)
13000000, (0.858, 18.414)
14000000, (0.837, 17.812)
15000000, (0.875, 18.57)
16000000, (0.855, 16.984)
17000000, (0.851, 17.398)
18000000, (0.898, 18.37)
19000000, (0.859, 16.888)
20000000, (0.867, 17.939)
21000000, (0.868, 17.663)
22000000, (0.892, 17.221)
23000000, (0.878, 16.637)
24000000, (0.891, 17.206)
25000000, (0.878, 16.751)
26000000, (0.896, 16.853)
27000000, (0.902, 17.224)
28000000, (0.914, 16.915)
29000000, (0.893, 16.539)
30000000, (0.9, 17.035)
ppo_Cnn_30.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_0.1, (0.8917, 16.68)
