2000000, (0.008, 0.069, 231.045)
4000000, (0.008, 0.075, 229.57)
6000000, (0.01, 0.064, 231.831)
8000000, (0.013, 0.08, 227.214)
10000000, (0.012, 0.084, 226.416)
12000000, (0.013, 0.058, 232.515)
14000000, (0.016, 0.07, 228.923)
16000000, (0.008, 0.074, 229.834)
18000000, (0.006, 0.075, 230.16)
20000000, (0.012, 0.069, 230.077)
22000000, (0.012, 0.065, 231.137)
24000000, (0.012, 0.074, 228.854)
26000000, (0.006, 0.071, 231.102)
28000000, (0.004, 0.075, 230.553)
30000000, (0.009, 0.063, 232.296)
32000000, (0.017, 0.073, 227.891)
34000000, (0.008, 0.069, 231.097)
36000000, (0.019, 0.067, 228.863)
38000000, (0.008, 0.052, 235.244)
40000000, (0.007, 0.078, 229.124)
smart_vs_ppo_Cnn_40.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_-0.2_lost1, (0.01, 0.0721, 229.8443)
