500000, 0.453
1000000, 0.562
1500000, 0.575
2000000, 0.628
2500000, 0.696
3000000, 0.742
3500000, 0.763
4000000, 0.773
4500000, 0.784
5000000, 0.793
5500000, 0.822
6000000, 0.805
6500000, 0.842
7000000, 0.831
7500000, 0.854
8000000, 0.836
8500000, 0.844
9000000, 0.844
9500000, 0.872
10000000, 0.851
10500000, 0.866
11000000, 0.864
11500000, 0.859
12000000, 0.873
12500000, 0.865
13000000, 0.862
13500000, 0.872
14000000, 0.878
14500000, 0.847
15000000, 0.875
15500000, 0.879
16000000, 0.893
16500000, 0.85
17000000, 0.889
17500000, 0.888
18000000, 0.861
18500000, 0.914
19000000, 0.877
19500000, 0.884
20000000, 0.874
ppo_Cnn_20.0M_g_0.95_lr_5e-05_vfc_0.1, 0.8853
