1000000, (0.637, 23.225)
2000000, (0.734, 21.251)
3000000, (0.75, 21.213)
4000000, (0.769, 20.81)
5000000, (0.778, 19.653)
6000000, (0.842, 20.113)
7000000, (0.774, 19.34)
8000000, (0.846, 19.562)
9000000, (0.855, 19.474)
10000000, (0.857, 19.463)
11000000, (0.819, 19.311)
12000000, (0.852, 18.861)
13000000, (0.86, 18.699)
14000000, (0.84, 18.002)
15000000, (0.874, 18.638)
16000000, (0.868, 18.26)
17000000, (0.873, 17.991)
18000000, (0.868, 18.262)
19000000, (0.876, 17.096)
20000000, (0.878, 17.175)
21000000, (0.882, 17.472)
22000000, (0.902, 17.444)
23000000, (0.905, 17.864)
24000000, (0.894, 16.851)
25000000, (0.916, 17.65)
26000000, (0.893, 16.95)
27000000, (0.904, 16.779)
28000000, (0.902, 16.46)
29000000, (0.888, 16.409)
30000000, (0.921, 16.444)
ppo_Cnn_30.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_0.05, (0.9089, 16.1137)
