500000, 0.521
1000000, 0.662
1500000, 0.654
2000000, 0.595
2500000, 0.661
3000000, 0.698
3500000, 0.698
4000000, 0.716
4500000, 0.748
5000000, 0.727
5500000, 0.761
6000000, 0.781
6500000, 0.799
7000000, 0.792
7500000, 0.822
8000000, 0.811
8500000, 0.827
9000000, 0.858
9500000, 0.833
10000000, 0.833
10500000, 0.845
11000000, 0.851
11500000, 0.839
12000000, 0.794
12500000, 0.837
13000000, 0.858
13500000, 0.851
14000000, 0.865
14500000, 0.867
15000000, 0.887
15500000, 0.84
16000000, 0.867
16500000, 0.85
17000000, 0.856
17500000, 0.865
18000000, 0.844
18500000, 0.875
19000000, 0.875
19500000, 0.874
20000000, 0.873
ppo_Cnn_20.0M_g_0.95_lr_0.0001_vfc_0.1_etc_5e-05, 0.8774
