 500000, 0.074
1000000, 0.43
1500000, 0.519
2000000, 0.658
2500000, 0.663
3000000, 0.674
3500000, 0.68
4000000, 0.731
4500000, 0.728
5000000, 0.735
5500000, 0.756
6000000, 0.762
6500000, 0.8
7000000, 0.794
7500000, 0.833
8000000, 0.818
8500000, 0.841
9000000, 0.842
9500000, 0.852
10000000, 0.825
10500000, 0.831
11000000, 0.842
11500000, 0.845
12000000, 0.834
12500000, 0.83
13000000, 0.842
13500000, 0.865
14000000, 0.821
14500000, 0.846
15000000, 0.838
15500000, 0.837
16000000, 0.839
16500000, 0.85
17000000, 0.828
17500000, 0.849
18000000, 0.84
18500000, 0.79
19000000, 0.781
19500000, 0.853
20000000, 0.697
