1000000, (0.677, 21.278)
2000000, (0.791, 21.101)
3000000, (0.758, 20.676)
4000000, (0.827, 20.069)
5000000, (0.842, 18.92)
6000000, (0.819, 19.062)
7000000, (0.837, 17.588)
8000000, (0.841, 18.553)
9000000, (0.862, 18.067)
10000000, (0.882, 17.585)
11000000, (0.872, 17.772)
12000000, (0.882, 17.417)
13000000, (0.891, 17.59)
14000000, (0.892, 17.05)
15000000, (0.88, 16.183)
16000000, (0.894, 17.13)
17000000, (0.908, 16.393)
18000000, (0.912, 16.806)
19000000, (0.899, 16.077)
20000000, (0.891, 16.021)
ppo_Cnn_20.0M_g_0.95_lr_0.0001_vfc_0.25_entc_0, (0.9007, 16.1145)
