 498976, 0.568
 998976, 0.538
1498976, 0.654
1998976, 0.676
2498976, 0.585
2998976, 0.658
3498976, 0.751
3998976, 0.688
4498976, 0.757
4998976, 0.721
5498976, 0.758
5998976, 0.786
6498976, 0.828
6998976, 0.83
7498976, 0.769
7998976, 0.833
8498976, 0.838
8998976, 0.793
9498976, 0.818
9998976, 0.815
10498976, 0.849
10998976, 0.847
11498976, 0.844
11998976, 0.84
12498976, 0.847
12998976, 0.856
13498976, 0.866
13998976, 0.842
14498976, 0.856
14998976, 0.858
15498976, 0.875
15998976, 0.867
16498976, 0.883
16998976, 0.874
17498976, 0.889
17998976, 0.888
18498976, 0.857
18998976, 0.863
19498976, 0.855
19998976, 0.864
