1000000, (0.622, 21.66)
2000000, (0.721, 22.068)
3000000, (0.706, 22.162)
4000000, (0.773, 21.067)
5000000, (0.788, 19.107)
6000000, (0.805, 20.307)
7000000, (0.828, 20.283)
8000000, (0.843, 20.444)
9000000, (0.833, 19.248)
10000000, (0.816, 18.329)
11000000, (0.856, 19.446)
12000000, (0.855, 19.473)
13000000, (0.834, 18.177)
14000000, (0.877, 19.634)
15000000, (0.853, 19.003)
16000000, (0.867, 18.316)
17000000, (0.872, 19.332)
18000000, (0.866, 18.138)
19000000, (0.868, 18.634)
20000000, (0.884, 18.464)
21000000, (0.87, 17.858)
22000000, (0.886, 18.049)
23000000, (0.914, 18.646)
24000000, (0.879, 17.304)
25000000, (0.878, 18.107)
26000000, (0.902, 18.427)
27000000, (0.902, 17.877)
28000000, (0.917, 17.039)
29000000, (0.919, 17.473)
30000000, (0.904, 18.051)
ppo_Cnn_30.0M_g_0.95_lr_0.0001_vfc_0.1_entc_0_mp_0.02, (0.9153, 17.3722)
